,GEO_NAME,0_x,Immigrants,Non-immigrants,Non-permanent residents,0_y,With children,Without children,0,Married or living common-law,Not married and not living common-law
129,Strathmore,14105.0,2925.0,12730.0,130.0,12265.0,1705.0,1690.0,11510.0,15025.0,9185.0
130,Summerside,17670.0,2690.0,15965.0,640.0,15140.0,1710.0,2405.0,15455.0,18520.0,13980.0
131,Swift Current,18060.0,5575.0,15685.0,245.0,15590.0,2080.0,2465.0,15615.0,20155.0,12380.0
132,Sylvan Lake,16435.0,2510.0,15285.0,80.0,14020.0,1960.0,1785.0,13015.0,16865.0,10855.0
133,Terrace,19510.0,3595.0,17435.0,440.0,16500.0,2085.0,2440.0,16075.0,20975.0,13695.0
134,Thetford Mines,26430.0,1090.0,25555.0,400.0,23080.0,2250.0,4310.0,24450.0,32895.0,21740.0
135,Thompson,12880.0,4500.0,10935.0,220.0,10045.0,1475.0,970.0,9670.0,11580.0,9205.0
136,Thunder Bay,120960.0,21690.0,108275.0,2710.0,103020.0,12250.0,15545.0,105600.0,125615.0,97915.0
137,Tillsonburg,18295.0,4830.0,15985.0,20.0,16620.0,1840.0,2870.0,15985.0,20720.0,12915.0
138,Timmins,40310.0,3130.0,38290.0,650.0,34965.0,4280.0,5205.0,34490.0,43690.0,30355.0
139,Toronto,6142880.0,6442080.0,3030045.0,249980.0,5078735.0,838310.0,552175.0,5237170.0,6096150.0,4703330.0
140,Trail,13860.0,2340.0,12570.0,210.0,12205.0,1325.0,2100.0,12295.0,15395.0,10665.0
141,Trois-Rivières,155535.0,15620.0,146760.0,2415.0,130775.0,14195.0,22320.0,137970.0,187215.0,126455.0
142,Truro,45325.0,4825.0,42640.0,590.0,40580.0,4405.0,6700.0,39485.0,49875.0,33855.0
143,Val-d'Or,33420.0,1940.0,32420.0,265.0,28330.0,3510.0,4510.0,27950.0,41580.0,23400.0
144,Vancouver,2607015.0,2467105.0,1384550.0,133275.0,2174800.0,327035.0,288310.0,2270780.0,2748710.0,1975550.0
145,Vernon,65325.0,17020.0,56995.0,510.0,58610.0,6315.0,10410.0,57840.0,74660.0,47215.0
146,Victoria,388470.0,164395.0,306395.0,8730.0,329620.0,38365.0,56130.0,346740.0,429535.0,305605.0
147,Victoriaville,50550.0,3810.0,48565.0,415.0,43010.0,4970.0,7145.0,44475.0,61835.0,39335.0
148,Wasaga Beach,24585.0,8825.0,20170.0,140.0,23745.0,2290.0,4460.0,21955.0,29855.0,16445.0
149,Wetaskiwin,12115.0,3815.0,10420.0,100.0,9850.0,1195.0,1320.0,10305.0,11450.0,10155.0
150,Weyburn,11825.0,3280.0,10500.0,90.0,10060.0,1385.0,1460.0,9920.0,12605.0,8225.0
151,Whitehorse,31420.0,11195.0,25940.0,855.0,26175.0,3435.0,3755.0,26405.0,34000.0,23285.0
152,Williams Lake,23335.0,4440.0,21160.0,190.0,20640.0,2330.0,3420.0,19635.0,26365.0,15835.0
153,Windsor,415505.0,220915.0,309340.0,9255.0,349840.0,49915.0,45215.0,353840.0,418360.0,316110.0
154,Winkler,32215.0,19320.0,23785.0,270.0,25710.0,4465.0,3380.0,24720.0,32820.0,17435.0
155,Winnipeg,819715.0,506385.0,581540.0,30220.0,672315.0,99725.0,86330.0,693555.0,827130.0,622335.0
156,Wood Buffalo,73290.0,38930.0,57005.0,865.0,59550.0,10325.0,6565.0,56875.0,79395.0,42710.0
157,Woodstock,45950.0,15410.0,38855.0,285.0,40225.0,5465.0,5580.0,38475.0,49640.0,31910.0
158,Yellowknife,19910.0,7810.0,16300.0,345.0,16300.0,2545.0,1885.0,16220.0,20960.0,14090.0
159,Yorkton,19505.0,5480.0,17105.0,345.0,16460.0,2120.0,2475.0,16270.0,20405.0,13675.0
